book_info
"The 7 Habits,Stephen,Simon,391"
"Mockingjay,Suzanne C,Scholastic"
"Command Nuclear,E Schlosser,2014,Penguin"
"Defending Castle,Chicago,Science, 2014"
"Fighter Planes, Zuehlke, 0.15 lbs,Ahead"
"Command Nuclear,Schlosser,2014,Penguin"
"Defending Castle,Chicago,Science, 2014"
"Fighter Planes, Zuehlke, 0.15 lbs,Pull"
"Knit Kimono, Square,0.8 in,Interweave"
"French Kids,Le Billon,Hardcover,2014"
"Beginner Day Trading, T Turner,Business "
"40-Day Social,Speake,9780801094583"
"Shallows Internet,N Carr,Computers"
"Harry Potter Hallows,Scholastic,2007"
"Diary Girl,Frank,Random House"
"Music Business,Passman,2019,Free"
"Machines Water,2021,B Rossiter"
"eBay Dummies,Paperback,Collier,2006"
"Machine Learning,M. Mitchell,McGraw"
"Deep Learning,Goodfellow,Courville,MIT"
